source_id	source_name	target_id	target_name	proximity	similarity
DOID:10652	Alzheimer's disease	DOID:1936	atherosclerosis	0.165297	0.081957
DOID:10652	Alzheimer's disease	DOID:14221	metabolic syndrome X	0.129573	0.096885
DOID:10652	Alzheimer's disease	DOID:1107	esophageal carcinoma	0.051223	0.049879
DOID:10652	Alzheimer's disease	DOID:10871	age related macular degeneration	0.041928	0.000000
DOID:10652	Alzheimer's disease	DOID:10286	prostate carcinoma	0.030472	0.026408
DOID:10652	Alzheimer's disease	DOID:10941	intracranial aneurysm	0.021175	0.000000
DOID:10652	Alzheimer's disease	DOID:1749	squamous cell carcinoma	0.023376	0.000000
DOID:10652	Alzheimer's disease	DOID:3393	coronary artery disease	0.015921	0.000000
DOID:10652	Alzheimer's disease	DOID:9352	type 2 diabetes mellitus	0.017399	0.000000
DOID:10652	Alzheimer's disease	DOID:9970	obesity	0.018876	0.000000
DOID:10652	Alzheimer's disease	DOID:5517	stomach carcinoma	0.014105	0.000000
DOID:10652	Alzheimer's disease	DOID:784	chronic kidney failure	0.010280	0.000000
DOID:10652	Alzheimer's disease	DOID:8778	Crohn's disease	0.007411	0.000000
DOID:10652	Alzheimer's disease	DOID:3905	lung carcinoma	0.007269	0.000000
DOID:10652	Alzheimer's disease	DOID:3620	central nervous system cancer	0.007089	0.000000
DOID:10652	Alzheimer's disease	DOID:6713	cerebrovascular disease	0.006749	0.000000
DOID:10652	Alzheimer's disease	DOID:3459	breast carcinoma	0.007786	0.000000
DOID:10652	Alzheimer's disease	DOID:5844	myocardial infarction	0.005999	0.000000
DOID:10652	Alzheimer's disease	DOID:9744	type 1 diabetes mellitus	0.005727	0.000000
DOID:10652	Alzheimer's disease	DOID:7693	abdominal aortic aneurysm	0.005916	0.000000
DOID:10652	Alzheimer's disease	DOID:1686	glaucoma	0.005822	0.000000
DOID:10652	Alzheimer's disease	DOID:5419	schizophrenia	0.005473	0.000000
DOID:10652	Alzheimer's disease	DOID:1067	open-angle glaucoma	0.005427	0.000000
DOID:10652	Alzheimer's disease	DOID:10608	celiac disease	0.005322	0.000000
DOID:10652	Alzheimer's disease	DOID:2513	basal cell carcinoma	0.005217	0.000000
DOID:10652	Alzheimer's disease	DOID:7148	rheumatoid arthritis	0.004983	0.000000
DOID:10652	Alzheimer's disease	DOID:3910	lung adenocarcinoma	0.004379	0.000000
DOID:10652	Alzheimer's disease	DOID:4001	ovarian carcinoma	0.005438	0.000000
DOID:10652	Alzheimer's disease	DOID:2841	asthma	0.003571	0.000000
DOID:10652	Alzheimer's disease	DOID:12236	primary biliary cirrhosis	0.003718	0.000000
DOID:10652	Alzheimer's disease	DOID:1595	endogenous depression	0.003706	0.000000
DOID:10652	Alzheimer's disease	DOID:1094	attention deficit hyperactivity disorder	0.003700	0.000000
DOID:10652	Alzheimer's disease	DOID:3312	bipolar disorder	0.003590	0.000000
DOID:10652	Alzheimer's disease	DOID:8577	ulcerative colitis	0.003389	0.000000
DOID:10652	Alzheimer's disease	DOID:12306	vitiligo	0.003357	0.000000
DOID:10652	Alzheimer's disease	DOID:9296	cleft lip	0.004901	0.000000
DOID:10652	Alzheimer's disease	DOID:0050156	idiopathic pulmonary fibrosis	0.003777	0.000000
DOID:10652	Alzheimer's disease	DOID:11612	polycystic ovary syndrome	0.003741	0.000000
DOID:10652	Alzheimer's disease	DOID:2377	multiple sclerosis	0.003035	0.000000
DOID:10652	Alzheimer's disease	DOID:4481	allergic rhinitis	0.002763	0.000000
DOID:10652	Alzheimer's disease	DOID:1459	hypothyroidism	0.003143	0.000000
DOID:10652	Alzheimer's disease	DOID:9074	systemic lupus erythematosus	0.002744	0.000000
DOID:10652	Alzheimer's disease	DOID:14330	Parkinson's disease	0.004189	0.000000
DOID:10652	Alzheimer's disease	DOID:1040	chronic lymphocytic leukemia	0.002373	0.000000
DOID:10652	Alzheimer's disease	DOID:12361	Graves' disease	0.002348	0.000000
DOID:10652	Alzheimer's disease	DOID:986	alopecia areata	0.002249	0.000000
DOID:10652	Alzheimer's disease	DOID:8893	psoriasis	0.002061	0.000000
DOID:10652	Alzheimer's disease	DOID:418	systemic scleroderma	0.002158	0.000000
DOID:10652	Alzheimer's disease	DOID:2986	IgA glomerulonephritis	0.002145	0.000000
DOID:10652	Alzheimer's disease	DOID:1909	melanoma	0.002243	0.000000
DOID:10652	Alzheimer's disease	DOID:12365	malaria	0.002127	0.000000
DOID:10652	Alzheimer's disease	DOID:4007	bladder carcinoma	0.001959	0.000000
DOID:10652	Alzheimer's disease	DOID:4905	pancreatic carcinoma	0.002033	0.000000
DOID:10652	Alzheimer's disease	DOID:3083	chronic obstructive pulmonary disease	0.001907	0.000000
DOID:10652	Alzheimer's disease	DOID:6364	migraine	0.002104	0.000000
DOID:10652	Alzheimer's disease	DOID:7147	ankylosing spondylitis	0.001656	0.000000
DOID:10652	Alzheimer's disease	DOID:11829	degenerative myopia	0.002518	0.000000
DOID:10652	Alzheimer's disease	DOID:10763	hypertension	0.002950	0.000000
DOID:10652	Alzheimer's disease	DOID:3310	atopic dermatitis	0.001272	0.000000
DOID:10652	Alzheimer's disease	DOID:585	nephrolithiasis	0.002315	0.000000
DOID:10652	Alzheimer's disease	DOID:9538	multiple myeloma	0.001437	0.000000
DOID:10652	Alzheimer's disease	DOID:8398	osteoarthritis	0.001419	0.000000
DOID:10652	Alzheimer's disease	DOID:13241	Behcet's disease	0.001219	0.000000
DOID:10652	Alzheimer's disease	DOID:1826	epilepsy syndrome	0.002026	0.000000
DOID:10652	Alzheimer's disease	DOID:3963	thyroid carcinoma	0.001429	0.000000
DOID:10652	Alzheimer's disease	DOID:8567	Hodgkin's lymphoma	0.001007	0.000000
DOID:10652	Alzheimer's disease	DOID:13378	Kawasaki disease	0.001019	0.000000
DOID:10652	Alzheimer's disease	DOID:14268	sclerosing cholangitis	0.000983	0.000000
DOID:10652	Alzheimer's disease	DOID:1024	leprosy	0.001123	0.000000
DOID:10652	Alzheimer's disease	DOID:9008	psoriatic arthritis	0.000723	0.000000
DOID:10652	Alzheimer's disease	DOID:2468	psychotic disorder	0.000888	0.000000
DOID:10652	Alzheimer's disease	DOID:13922	eosinophilic esophagitis	0.000670	0.000000
DOID:10652	Alzheimer's disease	DOID:9835	refractive error	0.001079	0.000000
DOID:10652	Alzheimer's disease	DOID:4450	renal cell carcinoma	0.001541	0.000000
DOID:10652	Alzheimer's disease	DOID:0050425	restless legs syndrome	0.001778	0.000000
DOID:10652	Alzheimer's disease	DOID:8986	narcolepsy	0.000574	0.000000
DOID:10652	Alzheimer's disease	DOID:5408	Paget's disease of bone	0.000667	0.000000
DOID:10652	Alzheimer's disease	DOID:14227	azoospermia	0.000872	0.000000
DOID:10652	Alzheimer's disease	DOID:11476	osteoporosis	0.000872	0.000000
